Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Gymnasium bei St. Michael Schwäbisch Hall,Tüngentaler Str. 92,74523,Schwäbisch Hall,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2019-05-28 14:17:07
Max-Born-Gymnasium Backnang,Maubacher Straße 62,71522,Backnang,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-13 18:41:53
Zollberg-Realschule Esslingen,Bosslerstraße 9-13,73734,Esslingen-Zollberg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-06-10 11:05:35
Gymnasium Neuenbürg,Waldenburgweg 10,75305,Neuenbürg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 13:10:32
Friedrich-Schiller-Gymnasium Pfullingen,Klostergarten 1,72793,Pfullingen,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-30 19:56:39
Friedrich-Wöhler-Gymnasium Singen,Münchriedstraße 4,78224,Singen,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2017-09-26 17:02:16
Realschule Bildungszentrum Seefälle Bonlanden Filderstadt,Mahlestraße 20,70794,Filderstadt,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-08-05 01:02:31
Gymnasium Karlsbad,Am Schelmenbusch 14-16,76307,Karlsbad,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020",Gymnasium,BW,Deutschland,2020-05-28 10:34:46
HAP Grieshaber Gymnasium im Bildungszentrum-Nord Reutlingen,Wittumstraße 37,72768,Reutlingen,,"Ehrung_2012,Ehrung_2015,Bewerbung MINT 2012,Bewerbung MINT 2015,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2017-10-09 14:18:16
Kaufmännische Schule Heidenheim,Heckentalstr. 86,89518,Heidenheim,,"Ehrung_2012,Ehrung_2015,Bewerbung MINT 2012,Bewerbung MINT 2015,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,Erneute Bewerbung MINT 2019,07 ReZi HF,keine MINT Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Schule,BW,Deutschland,2020-05-31 15:41:20
Stiftsgymnasium Sindelfingen,Böblinger Str. 26,71065,Sindelfingen,,"Ehrung_2012,Ehrung_2015,MINT-EC,Bewerbung MINT 2012,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-29 19:21:54
Heidelberg College Heidelberg,Neuenheimer Landstraße 16,69120,Heidelberg,,"Ehrung_2013,Ehrung_2016,Erneute Bewerbung MINT 2016,Bewerbung MINT 2013,Metropolregion Rhein-Neckar MINT-Region,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Staatlich anerkanntes Privatgymnasium,BW,Deutschland,2020-08-04 00:56:49
Goethe-Gymnasium Freiburg,Holzmarkt 5,79098,Freiburg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-07 14:41:49
Humboldt-Gymnasium Karlsruhe,Wilhelm-Hausenstein-Allee 22,76187,Karlsruhe,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 10:36:27
Staatliche Feintechnikschule mit Technischem Gymnasium Villingen-Schwenningen,Rietenstraße 9,78054,Villingen-Schwenningen,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Berufsschule mit Beruflichem Gymnasium,BW,Deutschland,2020-06-01 19:57:08
Theodor-Heuss-Gymnasium Pforzheim,Zerrennerstraße 43-45,75172,Pforzheim,,"Ehrung_2011,Ehrung_2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-12 09:14:52
Johanna-Geissmar-Gymnasium Mannheim,Lötzener Weg 2-4,68307,Mannheim,,"Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,04 keine Digital Ehrung 2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-31 20:54:14
Käthe Kollwitz Schule Mannheim,Zum Herrenried 1,68169,Mannheim,Primarbereich,"Ehrung_2014,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-05-04 11:59:21
Copernicus-Gymnasium Philippsburg,Lessingstraße 27,76661,Philippsburg,,"Ehrung_2014,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-31 16:43:44
Melanchthon-Gymnasium Bretten,Weißhofer Straße 48,75015,Bretten,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-30 09:36:26
Leibniz Gymnasium Rottweil,Heerstraße 140,78628,Rottweil,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-07-02 11:48:24
Heinrich-Schickhardt-Schule Freudenstadt,"Eugen-Nägele-Strasse, 40",72250,Freudenstadt,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,Smart school 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Berufsbildende Schule,BW,Deutschland,2020-05-28 10:20:33
Strahlenberger Grundschule Schriesheim,Schulgasse 1,69198,Schriesheim,Primarbereich,"Ehrung_2014,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-05-29 11:52:57
Friedrich-List-Schule Mannheim,"C6,1 Mannheim",68159,Mannheim,,"Ehrung_2014,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Schule,BW,Deutschland,2020-05-14 15:42:02
Wilhelm-August-Lay Schule Bötzingen GS,Wilhelm-August-Lay-Straße 1,79268,Bötzingen,Primarbereich,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka","Verbundschule mit Grund-, Werkreal- und Realschule",BW,Deutschland,2020-05-28 11:47:18
Hans-Furler Gymnasium Oberkirch,Butschbacher Str. 48b,77704,Oberkirch,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-30 18:16:40
Reuchlin-Gymnasium Pforzheim,Schwarzwaldstraße 84,75173,Pforzheim,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-04-22 15:10:57
Gymnasium in den Pfarrwiesen Sindelfingen,Pfarrwiesenallee 1-3,71067,Sindelfingen,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 18:52:04
Anne-Frank-Gymnasium Rheinau,Gymnasiumstraße 10,77866,Rheinau,,"Erstbewerber MINT 2016,Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-03-24 12:15:00
Nikolaus-Kistner-Gymnasium Mosbach,Jean-de-la-Fontaine 6-10,74821,Mosbach,,"Ehrung_2016,Erstbewerber MINT 2016,Metropolregion Rhein-Neckar MINT-Region,Erneute Bewerbung MINT 2018,Bewerbung Digitale Schule 2018,Ehrung_2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-04-10 17:48:12
Mädchen- und Jungenrealschule St. Bernhard Bad Mergentheim,Holzapfelgasse 15,97980,Bad Mergentheim,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-05-18 13:54:49
Liselotte-Gymnasium Mannheim,Wespinstraße 21-25,68165,Mannheim,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-04-01 17:26:58
Gymnasium Remchingen,Dajasstraße 21,75196,Remchingen,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-29 16:09:19
Elly-Heuss-Knapp-Realschule Ludwigsburg,Karlstr.33,71638,Ludwigsburg,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-05-03 13:56:39
Schiller-Gymnasium Offenburg,Zellerstraße 33,77654,Offenburg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 22:30:58
Leibniz-Gymnasium Östringen,Mozartstraße 1,76684,Östringen,,"Metropolregion Rhein-Neckar MINT-Region,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020",Gymnasium,BW,Deutschland,2020-05-19 11:10:30
Gymnasium Englisches Institut Heidelberg,Rheinstraße 14,69126,Heidelberg,,"Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 11:42:22
Laubenhartschule Bartholomä,Marktwiese 1,73566,Bartholomä,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-03-30 13:03:04
Maria-Sibylla-Merian-Grundschule Wiesloch,Johann-Philipp-Bronner-Str. 41,69168,Wiesloch,Primarbereich,"Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-04-22 09:58:14
Gymnasium Rutesheim,Robert-Bosch-Straße 19,71277,Rutesheim,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020",Gymnasium,BW,Deutschland,2020-05-31 22:54:56
Werdenbergschule Trochtelfingen,Hohenbergstr. 13-19,72818,Trochtelfingen,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gemeinschaftsschule,BW,Deutschland,2020-05-28 17:35:04
Otto-Hahn-Gymnasium Ludwigsburg,Kaiserstraße 14,71636,Ludwigsburg,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2017-09-01 09:15:23
Schiller-Grundschule Göppingen,Rathausstr. 1,73035,Göppingen,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-04-29 12:44:24
Gymnasium Haigerloch,Oberstadtstr. 64,72401,Haigerloch,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-30 22:31:30
Nikolaus-Christian-Sander Schule Teningen-Köndringen,Am Hungerberg 18,79331,Teningen-Köndringen,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grund- und Hauptschule,BW,Deutschland,2020-05-29 13:36:21
Internationale Schule Stuttgart e.V.,Sigmaringer Str. 257,70597,Stuttgart,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,Ehrung_2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Upper School,BW,Deutschland,2020-07-30 16:51:03
